%-------
%  /data/instrument/database_active/output/station_average/mlo_av.csv
% From Archive Dated 16-Dec-2022 17:43:43
%
% Aspirated and Non-aspirated sample mean flask results for Station MLO
%
% Column 1 is the sample date in YYYY-MM-DD format. 
%
% Column 2 is the sample time in HH:MM format. 
%
% Column 3 is the date in decimal format. 
%
% Column 4 is a flag for identifying uncertainty in the reported sampling time.
%   All sampling date/times are nominally corrected to UTC. But in some cases
%   the relevant correction is uncertain due to incomplete information on the
%   original sample log sheets. In this case Column 8 gives the (assumed)
%   correction applied (in hours). The flag is otherwise set to "UTC" indicating
%   that the time is not uncertain.
%
% Column 5 is a 3-letter station identifier.
%
%
% Licor:  CO2 concentration (ppm) as measured on Licor; corrected for
%     non-linearity and primary drift
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
% Siemens: CO2 concentration (ppm) as measured on Siemens; corrected for
%     non-linearity and primary drift
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
% 44/28: CO2 concentration (ppm) as calculated from reduced ratio 40/28
%     on ISOPRIME; corrected for primary drift and interferences
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
% Interf:  delta O2/N2 from interferometer; corrected for CO2 interference
%     and primary drift
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
% 32/28; delta 32/28 (per meg) on ISOPRIME; corrected for primary drift
%     and interferences
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
% 40/28: delta  40/28 (per meg) on ISOPRIME; corrected for primary drift
%     and interferences
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
% APO: Atmospheric potential oxygen calculated from Siemens CO2 and Interferometer O2 as
%        APO =O2 + (1.1/0.20946)*(CO2-350) 
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
%
%     Date,  Time, T-Decimal,Zone,Sta,   Licor, N,  SD, Siemens, N,  SD,   44/28, N,  SD,  Interf, N,  SD,   32/28, N,  SD,   40/28, N,  SD,     APO, N,  SD
%-------
1991-01-19, 23:35, 1991.0520, UTC,MLO,     NaN, 0,0.00,  356.08, 3,0.05,     NaN, 0,0.00, -124.51, 3,2.38,     NaN, 0,0.00,     NaN, 0,0.00,  -92.58, 6,2.43
1991-04-04, 19:33, 1991.2570, UTC,MLO,     NaN, 0,0.00,  357.72, 3,0.04,     NaN, 0,0.00, -114.99, 3,0.22,     NaN, 0,0.00,     NaN, 0,0.00,  -74.45, 6,0.26
1991-04-18, 20:15, 1991.2955, UTC,MLO,     NaN, 0,0.00,  358.66, 2,0.13,     NaN, 0,0.00, -130.29, 2,1.57,     NaN, 0,0.00,     NaN, 0,0.00,  -84.81, 4,1.70
1991-05-03, 19:30, 1991.3365,  10,MLO,     NaN, 0,0.00,  358.63, 3,0.15,     NaN, 0,0.00, -124.51, 3,0.94,     NaN, 0,0.00,     NaN, 0,0.00,  -79.19, 6,1.09
1991-05-16, 19:18, 1991.3721, UTC,MLO,     NaN, 0,0.00,  359.77, 3,0.05,     NaN, 0,0.00, -129.01, 2,3.36,     NaN, 0,0.00,     NaN, 0,0.00,  -77.72, 5,3.41
1991-05-30, 20:11, 1991.4105, UTC,MLO,     NaN, 0,0.00,  358.84, 3,0.00,     NaN, 0,0.00, -114.32, 3,1.95,     NaN, 0,0.00,     NaN, 0,0.00,  -67.92, 6,1.95
1991-06-13, 19:57, 1991.4489, UTC,MLO,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00
1991-06-27, 19:41, 1991.4872, UTC,MLO,     NaN, 0,0.00,  357.50, 3,0.05,     NaN, 0,0.00, -128.14, 3,2.56,     NaN, 0,0.00,     NaN, 0,0.00,  -88.76, 6,2.60
1991-07-18, 19:57, 1991.5447,  10,MLO,     NaN, 0,0.00,  355.44, 2,0.00,     NaN, 0,0.00, -112.11, 2,2.54,     NaN, 0,0.00,     NaN, 0,0.00,  -83.55, 4,2.54
1991-07-31, 19:07, 1991.5803,  10,MLO,     NaN, 0,0.00,  354.55, 3,0.03,     NaN, 0,0.00,  -89.95, 3,2.68,     NaN, 0,0.00,     NaN, 0,0.00,  -66.07, 6,2.71
1991-08-15, 15:00, 1991.6209, UTC,MLO,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00
1991-10-24, 21:50, 1991.8135, UTC,MLO,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00
1991-11-07, 21:22, 1991.8518, UTC,MLO,     NaN, 0,0.00,  353.75, 2,0.08,     NaN, 0,0.00,  -92.23, 2,1.39,     NaN, 0,0.00,     NaN, 0,0.00,  -72.57, 4,1.47
1991-11-21, 21:33, 1991.8901, UTC,MLO,     NaN, 0,0.00,  353.65, 3,0.00,     NaN, 0,0.00,  -94.39, 3,2.15,     NaN, 0,0.00,     NaN, 0,0.00,  -75.22, 6,2.15
1991-12-05, 19:21, 1991.9282, UTC,MLO,     NaN, 0,0.00,  354.40, 3,0.02,     NaN, 0,0.00, -100.70, 3,0.42,     NaN, 0,0.00,     NaN, 0,0.00,  -77.61, 6,0.44
1991-12-18, 20:51, 1991.9640, UTC,MLO,     NaN, 0,0.00,  354.78, 3,0.05,     NaN, 0,0.00, -106.97, 3,1.11,     NaN, 0,0.00,     NaN, 0,0.00,  -81.88, 6,1.16
1992-01-02, 19:20, 1992.0049, UTC,MLO,     NaN, 0,0.00,  355.50, 3,0.00,     NaN, 0,0.00, -108.01, 3,0.50,     NaN, 0,0.00,     NaN, 0,0.00,  -79.13, 6,0.50
1992-01-17, 18:55, 1992.0459, UTC,MLO,     NaN, 0,0.00,  356.43, 3,0.07,     NaN, 0,0.00, -120.55, 3,0.31,     NaN, 0,0.00,     NaN, 0,0.00,  -86.80, 6,0.38
1992-01-31, 19:30, 1992.0842, UTC,MLO,     NaN, 0,0.00,  356.76, 3,0.07,     NaN, 0,0.00, -110.72, 3,1.64,     NaN, 0,0.00,     NaN, 0,0.00,  -75.22, 6,1.72
1992-02-14, 19:25, 1992.1224, UTC,MLO,     NaN, 0,0.00,  357.20, 3,0.02,     NaN, 0,0.00, -120.68, 3,0.72,     NaN, 0,0.00,     NaN, 0,0.00,  -82.87, 6,0.74
1992-02-28, 19:20, 1992.1607, UTC,MLO,     NaN, 0,0.00,  356.35, 3,0.04,     NaN, 0,0.00, -107.29, 3,1.59,     NaN, 0,0.00,     NaN, 0,0.00,  -73.94, 6,1.63
1992-03-13, 19:24, 1992.1989, UTC,MLO,     NaN, 0,0.00,  358.14, 3,0.02,     NaN, 0,0.00, -137.93, 3,1.30,     NaN, 0,0.00,     NaN, 0,0.00,  -95.17, 6,1.32
