wavelength	Telescope (3 reflections)	Bandpass Filter	Dyson Lens	Grating	QE	System Throughput w/o QE	Total Throughput
2.03	0.943289976	0.95	0.897796664	0.855167755	0.88594	0.674255045	0.597349514
2.04	0.941856503	0.95	0.897960003	0.858326583	0.88592	0.675840132	0.59874029
2.05	0.940577775	0.95	0.897909814	0.861275819	0.8859	0.677203769	0.599934819
2.06	0.940680536	0.95	0.897758031	0.864022195	0.88588	0.679322558	0.601798268
2.07	0.942586252	0.95	0.897506087	0.866564266	0.88586	0.682509909	0.604608228
2.08	0.943027869	0.95	0.897155395	0.868902992	0.88584	0.684405001	0.606273326
2.09	0.943423926	0.95	0.896722113	0.871051782	0.88582	0.686054188	0.607720521
2.1	0.945321252	0.95	0.896107208	0.873011732	0.8858	0.688508257	0.609880614
2.11	0.946960512	0.95	0.895388552	0.874779587	0.88578	0.690544592	0.611670589
2.12	0.946171445	0.95	0.894667875	0.876338669	0.88576	0.690642559	0.611743553
2.13	0.945271681	0.95	0.893979219	0.877597439	0.88574	0.690445016	0.611554769
2.14	0.945769662	0.95	0.893551067	0.879072136	0.88572	0.691638169	0.612597759
2.15	0.945338214	0.95	0.892768804	0.881180108	0.8857	0.692373737	0.613235419
2.16	0.943277756	0.95	0.892089868	0.882515957	0.88568	0.691385787	0.612346564
2.17	0.941050396	0.95	0.891191092	0.883508242	0.88566	0.689833062	0.610957549
2.18	0.94280087	0.95	0.890736566	0.884273674	0.88564	0.691362203	0.612298021
2.19	0.944086939	0.95	0.890100897	0.8848577	0.88562	0.692268138	0.613086509
2.2	0.943849667	0.95	0.889890263	0.885282702	0.8856	0.692262716	0.613067861
2.21	0.944607637	0.95	0.889456071	0.885561902	0.88558	0.692699002	0.613440382
2.22	0.946645084	0.95	0.888908217	0.885694275	0.88556	0.693869222	0.614462828
2.23	0.948681795	0.95	0.888493249	0.88569073	0.88554	0.695034687	0.615481016
2.24	0.949028689	0.95	0.888244953	0.885565057	0.88552	0.6949959	0.615432769
2.25	0.950007183	0.95	0.887826944	0.885325806	0.8855	0.695197201	0.615597121
2.26	0.949136048	0.95	0.887163853	0.884991358	0.88548	0.693778788	0.614327241
2.27	0.947288699	0.95	0.886332218	0.884099986	0.88546	0.691082597	0.611925996
2.28	0.945712864	0.95	0.884317531	0.883645043	0.88544	0.688010486	0.609192005
2.29	0.944505082	0.95	0.881855286	0.883088034	0.88542	0.684786677	0.60632382
2.3	0.944852026	0.95	0.879749079	0.882368293	0.8854	0.682845095	0.604591047
2.31	0.944498353	0.95	0.877481053	0.881506233	0.88538	0.680164594	0.602204128
2.32	0.945978128	0.95	0.874770855	0.880525329	0.88536	0.67837047	0.600602079
2.33	0.949010336	0.95	0.87180822	0.879435287	0.88534	0.677400434	0.5997297
2.34	0.94875628	0.95	0.868268493	0.878242941	0.88532	0.673554984	0.596311699
2.35	0.94788012	0.95	0.864253907	0.876953546	0.8853	0.668838149	0.592122413
2.36	0.947208605	0.95	0.861746534	0.875571427	0.88528	0.665374943	0.589043129
2.37	0.947129254	0.95	0.858665511	0.874100329	0.88526	0.661826626	0.585888639
2.38	0.94647144	0.95	0.855434885	0.872543619	0.88524	0.657705235	0.582226982
2.39	0.944371968	0.95	0.852439619	0.870910855	0.88522	0.652724776	0.577805026
2.4	0.94378638	0.95	0.848311576	0.869202695	0.8852	0.647887862	0.573510336
