" Monthly averaged cdata for station CGO       
"
""
" /data/instrument/database_active//curves///cgoc_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the c concentration in ppm units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
1991,  1,        0, 1991.0411,   353.25,   353.48,     352.60,   352.83,     353.25,   353.48
1991,  2,        0, 1991.1260,   -99.99,     0.00,     352.47,   352.83,     352.47,   352.83
1991,  3,        0, 1991.2027,   352.08,   352.56,     352.35,   352.84,     352.08,   352.56
1991,  4,        0, 1991.2877,   352.36,   352.78,     352.43,   352.85,     352.36,   352.78
1991,  5,        0, 1991.3699,   352.31,   352.60,     352.57,   352.86,     352.31,   352.60
1991,  6,        0, 1991.4548,   352.90,   353.01,     352.77,   352.88,     352.90,   353.01
1991,  7,        0, 1991.5370,   353.10,   352.85,     353.15,   352.90,     353.10,   352.85
1991,  8,        0, 1991.6219,   353.53,   353.00,     353.46,   352.93,     353.53,   353.00
1991,  9,        0, 1991.7068,   353.58,   353.05,     353.50,   352.97,     353.58,   353.05
1991, 10,        0, 1991.7890,   -99.99,     0.00,     353.45,   353.01,     353.45,   353.01
1991, 11,        0, 1991.8740,   353.31,   353.11,     353.27,   353.07,     353.31,   353.11
1991, 12,        0, 1991.9562,   353.11,   353.20,     353.05,   353.13,     353.11,   353.20
1992,  1,        0, 1992.0410,   352.67,   352.90,     352.98,   353.21,     352.67,   352.90
1992,  2,        0, 1992.1257,   352.43,   352.80,     352.93,   353.30,     352.43,   352.80
1992,  3,        0, 1992.2049,   352.56,   353.05,     352.91,   353.39,     352.56,   353.05
1992,  4,        0, 1992.2896,   353.36,   353.78,     353.09,   353.51,     353.36,   353.78
1992,  5,        0, 1992.3716,   353.51,   353.80,     353.34,   353.62,     353.51,   353.80
1992,  6,        0, 1992.4563,   353.86,   353.96,     353.64,   353.74,     353.86,   353.96
1992,  7,        0, 1992.5383,   354.18,   353.93,     354.11,   353.86,     354.18,   353.93
1992,  8,        0, 1992.6230,   354.57,   354.04,     354.50,   353.97,     354.57,   354.04
1992,  9,        0, 1992.7077,   354.76,   354.23,     354.61,   354.08,     354.76,   354.23
1992, 10,        0, 1992.7896,   354.92,   354.49,     354.61,   354.18,     354.92,   354.49
1992, 11,        0, 1992.8743,   354.67,   354.47,     354.47,   354.27,     354.67,   354.47
1992, 12,        0, 1992.9563,   354.44,   354.52,     354.27,   354.35,     354.44,   354.52
1993,  1,        0, 1993.0411,   354.22,   354.45,     354.21,   354.44,     354.22,   354.45
1993,  2,        0, 1993.1260,   354.08,   354.45,     354.15,   354.52,     354.08,   354.45
1993,  3,        0, 1993.2027,   354.31,   354.80,     354.10,   354.59,     354.31,   354.80
1993,  4,        0, 1993.2877,   354.09,   354.51,     354.24,   354.66,     354.09,   354.51
1993,  5,        0, 1993.3699,   354.49,   354.78,     354.45,   354.74,     354.49,   354.78
