" Monthly averaged cdata for station MLO       
"
""
" /data/instrument/database_active//curves///mloc_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the c concentration in ppm units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
1991,  1,        0, 1991.0411,   355.99,   355.68,     355.84,   355.54,     355.99,   355.68
1991,  2,        0, 1991.1260,   -99.99,     0.00,     356.44,   355.56,     356.44,   355.56
1991,  3,        0, 1991.2027,   -99.99,     0.00,     357.12,   355.57,     357.12,   355.57
1991,  4,        0, 1991.2877,   358.37,   355.60,     358.36,   355.60,     358.37,   355.60
1991,  5,        0, 1991.3699,   359.19,   355.85,     358.96,   355.62,     359.19,   355.85
1991,  6,        0, 1991.4548,   358.18,   355.78,     358.03,   355.64,     358.18,   355.78
1991,  7,        0, 1991.5370,   355.70,   355.24,     356.12,   355.66,     355.70,   355.24
1991,  8,        0, 1991.6219,   -99.99,     0.00,     353.78,   355.69,     353.78,   355.69
1991,  9,        0, 1991.7068,   -99.99,     0.00,     352.15,   355.72,     352.15,   355.72
1991, 10,        0, 1991.7890,   -99.99,     0.00,     352.34,   355.75,     352.34,   355.75
1991, 11,        0, 1991.8740,   353.76,   355.78,     353.76,   355.79,     353.76,   355.78
1991, 12,        0, 1991.9562,   354.75,   355.43,     355.15,   355.83,     354.75,   355.43
1992,  1,        0, 1992.0410,   356.23,   355.92,     356.18,   355.87,     356.23,   355.92
1992,  2,        0, 1992.1257,   356.65,   355.78,     356.80,   355.92,     356.65,   355.78
1992,  3,        0, 1992.2049,   358.22,   356.65,     357.54,   355.97,     358.22,   356.65
1992,  4,        0, 1992.2896,   358.89,   356.10,     358.81,   356.02,     358.89,   356.10
1992,  5,        0, 1992.3716,   359.01,   355.67,     359.41,   356.07,     359.01,   355.67
1992,  6,        0, 1992.4563,   359.47,   357.11,     358.49,   356.13,     359.47,   357.11
1992,  7,        0, 1992.5383,   -99.99,     0.00,     356.60,   356.18,     356.60,   356.18
1992,  8,        0, 1992.6230,   -99.99,     0.00,     354.30,   356.24,     354.30,   356.24
1992,  9,        0, 1992.7077,   -99.99,     0.00,     352.73,   356.30,     352.73,   356.30
1992, 10,        0, 1992.7896,   352.98,   356.38,     352.95,   356.36,     352.98,   356.38
1992, 11,        0, 1992.8743,   354.95,   356.97,     354.40,   356.42,     354.95,   356.97
1992, 12,        0, 1992.9563,   355.75,   356.42,     355.81,   356.48,     355.75,   356.42
1993,  1,        0, 1993.0411,   356.84,   356.53,     356.86,   356.55,     356.84,   356.53
1993,  2,        0, 1993.1260,   356.72,   355.84,     357.50,   356.62,     356.72,   355.84
1993,  3,        0, 1993.2027,   358.35,   356.80,     358.24,   356.70,     358.35,   356.80
1993,  4,        0, 1993.2877,   359.52,   356.75,     359.55,   356.78,     359.52,   356.75
1993,  5,        0, 1993.3699,   360.60,   357.26,     360.21,   356.86,     360.60,   357.26
