" Monthly averaged odata for station CGO       
"
""
" /data/instrument/database_active//curves///cgoo_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the o concentration in per-meg units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
1991,  1,        0, 1991.0411,   -78.18,  -104.87,     -61.31,   -88.00,     -78.18,  -104.87
1991,  2,        0, 1991.1260,   -99.99,     0.00,     -55.10,   -88.14,     -55.10,   -88.14
1991,  3,        0, 1991.2027,   -56.84,   -85.48,     -59.65,   -88.29,     -56.84,   -85.48
1991,  4,        0, 1991.2877,   -58.74,   -77.56,     -69.69,   -88.52,     -58.74,   -77.56
1991,  5,        0, 1991.3699,   -78.63,   -85.72,     -81.74,   -88.82,     -78.63,   -85.72
1991,  6,        0, 1991.4548,   -92.36,   -87.78,     -93.82,   -89.24,     -92.36,   -87.78
1991,  7,        0, 1991.5370,  -102.23,   -87.21,    -104.75,   -89.73,    -102.23,   -87.21
1991,  8,        0, 1991.6219,  -120.65,   -93.18,    -117.80,   -90.34,    -120.65,   -93.18
1991,  9,        0, 1991.7068,  -134.78,  -100.26,    -125.56,   -91.03,    -134.78,  -100.26
1991, 10,        0, 1991.7890,   -99.99,     0.00,    -119.80,   -91.78,    -119.80,   -91.78
1991, 11,        0, 1991.8740,  -115.93,  -104.67,    -103.92,   -92.66,    -115.93,  -104.67
1991, 12,        0, 1991.9562,   -83.21,   -91.88,     -84.99,   -93.65,     -83.21,   -91.88
1992,  1,        0, 1992.0410,   -56.86,   -83.54,     -68.19,   -94.87,     -56.86,   -83.54
1992,  2,        0, 1992.1257,   -44.97,   -78.02,     -63.28,   -96.33,     -44.97,   -78.02
1992,  3,        0, 1992.2049,   -62.69,   -91.12,     -69.48,   -97.92,     -62.69,   -91.12
1992,  4,        0, 1992.2896,   -83.69,  -102.26,     -81.22,   -99.78,     -83.69,  -102.26
1992,  5,        0, 1992.3716,   -97.45,  -104.28,     -94.84,  -101.67,     -97.45,  -104.28
1992,  6,        0, 1992.4563,  -112.92,  -108.15,    -108.37,  -103.60,    -112.92,  -108.15
1992,  7,        0, 1992.5383,  -124.42,  -109.22,    -120.57,  -105.38,    -124.42,  -109.22
1992,  8,        0, 1992.6230,  -139.18,  -111.57,    -134.67,  -107.06,    -139.18,  -111.57
1992,  9,        0, 1992.7077,  -150.94,  -116.41,    -143.06,  -108.53,    -150.94,  -116.41
1992, 10,        0, 1992.7896,  -157.59,  -129.66,    -137.68,  -109.75,    -157.59,  -129.66
1992, 11,        0, 1992.8743,  -129.95,  -118.77,    -121.96,  -110.78,    -129.95,  -118.77
1992, 12,        0, 1992.9563,  -111.57,  -120.26,    -102.91,  -111.61,    -111.57,  -120.26
1993,  1,        0, 1993.0411,   -76.72,  -103.41,     -85.66,  -112.35,     -76.72,  -103.41
1993,  2,        0, 1993.1260,   -70.02,  -103.07,     -80.04,  -113.08,     -70.02,  -103.07
