" Monthly averaged odata for station MLO       
"
""
" /data/instrument/database_active//curves///mloo_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the o concentration in per-meg units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
1991,  1,        0, 1991.0411,  -123.83,  -116.28,    -113.03,  -105.48,    -123.83,  -116.28
1991,  2,        0, 1991.1260,   -99.99,     0.00,    -116.39,  -105.67,    -116.39,  -105.67
1991,  3,        0, 1991.2027,   -99.99,     0.00,    -120.71,  -105.86,    -120.71,  -105.86
1991,  4,        0, 1991.2877,  -123.53,  -101.93,    -127.67,  -106.07,    -123.53,  -101.93
1991,  5,        0, 1991.3699,  -123.48,  -102.82,    -126.97,  -106.31,    -123.48,  -102.82
1991,  6,        0, 1991.4548,  -133.19,  -122.90,    -116.86,  -106.57,    -133.19,  -122.90
1991,  7,        0, 1991.5370,  -105.36,  -108.68,    -103.52,  -106.84,    -105.36,  -108.68
1991,  8,        0, 1991.6219,   -99.99,     0.00,     -89.69,  -107.14,     -89.69,  -107.14
1991,  9,        0, 1991.7068,   -99.99,     0.00,     -82.17,  -107.47,     -82.17,  -107.47
1991, 10,        0, 1991.7890,   -99.99,     0.00,     -84.69,  -107.83,     -84.69,  -107.83
1991, 11,        0, 1991.8740,   -93.64,  -107.46,     -94.44,  -108.25,     -93.64,  -107.46
1991, 12,        0, 1991.9562,  -105.41,  -107.13,    -107.00,  -108.72,    -105.41,  -107.13
1992,  1,        0, 1992.0410,  -113.31,  -105.77,    -116.81,  -109.27,    -113.31,  -105.77
1992,  2,        0, 1992.1257,  -113.23,  -102.52,    -120.60,  -109.89,    -113.23,  -102.52
1992,  3,        0, 1992.2049,  -138.46,  -123.43,    -125.57,  -110.54,    -138.46,  -123.43
1992,  4,        0, 1992.2896,  -134.41,  -112.71,    -132.99,  -111.30,    -134.41,  -112.71
1992,  5,        0, 1992.3716,  -128.91,  -108.38,    -132.62,  -112.09,    -128.91,  -108.38
1992,  6,        0, 1992.4563,  -131.13,  -121.07,    -123.03,  -112.97,    -131.13,  -121.07
1992,  7,        0, 1992.5383,   -99.99,     0.00,    -110.33,  -113.87,    -110.33,  -113.87
1992,  8,        0, 1992.6230,   -99.99,     0.00,     -97.27,  -114.86,     -97.27,  -114.86
1992,  9,        0, 1992.7077,   -99.99,     0.00,     -90.57,  -115.90,     -90.57,  -115.90
1992, 10,        0, 1992.7896,  -101.78,  -124.87,     -93.86,  -116.95,    -101.78,  -124.87
1992, 11,        0, 1992.8743,  -112.33,  -126.10,    -104.32,  -118.09,    -112.33,  -126.10
1992, 12,        0, 1992.9563,  -101.71,  -103.41,    -117.55,  -119.25,    -101.71,  -103.41
1993,  1,        0, 1993.0411,  -123.97,  -116.41,    -128.10,  -120.55,    -123.97,  -116.41
1993,  2,        0, 1993.1260,  -119.49,  -108.78,    -132.68,  -121.96,    -119.49,  -108.78
